epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,142.173,1.125,0.84962,1.16345,0.97134,0.98167,0.99089,0.71291,1.04312,0.91704,1.18096,0.005842,0.005842,0.005842
44,145.445,1.11123,0.8317,1.17519,0.9645,0.99854,0.99177,0.7024,1.04919,0.87414,1.20056,0.005743,0.005743,0.005743
45,148.806,1.07707,0.76713,1.13838,0.97275,0.98331,0.98762,0.71223,1.02795,0.84867,1.17,0.005644,0.005644,0.005644
46,152.106,1.1021,0.7739,1.14851,0.96653,0.98453,0.98721,0.69094,1.07561,0.95891,1.19832,0.005545,0.005545,0.005545
47,155.518,1.05912,0.73642,1.13059,0.95729,0.98396,0.98185,0.69242,1.04872,0.8738,1.19136,0.005446,0.005446,0.005446
48,158.831,1.04762,0.76759,1.1642,0.94796,0.96489,0.97186,0.65351,1.14165,0.92931,1.25088,0.005347,0.005347,0.005347
49,162.125,1.06175,0.75268,1.12642,0.97859,0.98444,0.98745,0.70788,1.01212,0.85063,1.14858,0.005248,0.005248,0.005248
50,165.628,1.081,0.81147,1.13291,0.96684,0.99603,0.99053,0.72473,0.99633,0.84864,1.16002,0.005149,0.005149,0.005149
51,168.982,1.1027,0.77478,1.14332,0.97706,0.98648,0.99186,0.69403,1.03211,0.88397,1.1972,0.00505,0.00505,0.00505
52,172.345,1.0397,0.73563,1.11385,0.95051,0.96254,0.98183,0.63839,1.19119,0.88602,1.30103,0.004951,0.004951,0.004951
53,175.633,1.09456,0.77862,1.12542,0.96802,0.99603,0.98642,0.70435,1.05825,0.78038,1.18398,0.004852,0.004852,0.004852
54,178.922,1.02794,0.76406,1.13558,0.97291,0.99078,0.99342,0.71301,1.01255,0.75275,1.17635,0.004753,0.004753,0.004753
55,182.194,1.01263,0.74551,1.14251,0.98038,0.9823,0.99333,0.71714,0.98729,0.74662,1.17517,0.004654,0.004654,0.004654
56,185.537,1.05811,0.77463,1.12903,0.85865,0.83201,0.88112,0.54081,1.33204,1.27837,1.38464,0.004555,0.004555,0.004555
57,188.849,1.04679,0.75218,1.14344,0.95332,0.98415,0.98608,0.67962,1.0794,0.80642,1.24885,0.004456,0.004456,0.004456
58,192.195,1.02924,0.74133,1.19245,0.98203,0.99049,0.9934,0.73438,0.94848,0.74991,1.14073,0.004357,0.004357,0.004357
59,195.54,1.03455,0.69826,1.12287,0.95618,0.99561,0.99203,0.71759,0.97999,0.75374,1.16523,0.004258,0.004258,0.004258
60,198.806,1.04296,0.72345,1.1347,0.97367,0.98978,0.99407,0.73857,0.93043,0.75913,1.12895,0.004159,0.004159,0.004159
61,202.041,1.00566,0.71492,1.11818,0.96866,0.99747,0.99356,0.73849,0.93931,0.77849,1.13228,0.00406,0.00406,0.00406
62,205.307,0.99586,0.69025,1.12014,0.97825,0.98476,0.98908,0.72978,0.95196,0.72606,1.13806,0.003961,0.003961,0.003961
63,208.582,1.01774,0.7047,1.11321,0.97531,0.97622,0.98886,0.73431,0.95797,0.73716,1.14186,0.003862,0.003862,0.003862
64,211.84,0.97012,0.66086,1.06745,0.98322,0.99845,0.99422,0.74902,0.92744,0.73672,1.1201,0.003763,0.003763,0.003763
65,215.108,0.99936,0.69138,1.12557,0.97321,1,0.991,0.7461,0.92314,0.76993,1.1118,0.003664,0.003664,0.003664
66,218.431,0.97934,0.70502,1.12606,0.92994,0.91133,0.96063,0.66958,1.09807,0.85339,1.24871,0.003565,0.003565,0.003565
67,221.726,1.03347,0.72913,1.14395,0.9852,0.99603,0.99043,0.76119,0.86836,0.68699,1.08601,0.003466,0.003466,0.003466
68,225.022,0.92385,0.69127,1.11709,0.98507,0.98964,0.99086,0.76555,0.87082,0.70467,1.08321,0.003367,0.003367,0.003367
69,228.289,0.99453,0.65599,1.07659,0.987,0.99524,0.99302,0.75277,0.90106,0.66124,1.10664,0.003268,0.003268,0.003268
70,231.78,0.98413,0.6515,1.06772,0.99186,0.99447,0.99444,0.76361,0.89294,0.66254,1.09215,0.003169,0.003169,0.003169
71,235.12,0.94809,0.68776,1.06567,0.99027,0.99441,0.99441,0.76356,0.89321,0.66597,1.09147,0.00307,0.00307,0.00307
72,238.385,0.95568,0.66617,1.10791,0.98596,0.99566,0.99447,0.75881,0.90951,0.68259,1.08914,0.002971,0.002971,0.002971
73,241.626,1.01359,0.67214,1.11019,0.976,0.99182,0.99387,0.75619,0.89641,0.67024,1.08488,0.002872,0.002872,0.002872
74,244.887,0.97768,0.65716,1.1018,0.96904,0.99803,0.99343,0.76124,0.87158,0.64643,1.07452,0.002773,0.002773,0.002773
75,248.116,0.92328,0.61968,1.07965,0.98431,0.99581,0.99297,0.77446,0.85165,0.64565,1.06416,0.002674,0.002674,0.002674
76,251.381,0.98681,0.66467,1.1133,0.98503,0.99882,0.99138,0.7643,0.85679,0.65695,1.06327,0.002575,0.002575,0.002575
77,254.631,0.97393,0.65606,1.1224,0.98558,0.99485,0.99119,0.74808,0.89983,0.6685,1.07871,0.002476,0.002476,0.002476
78,257.843,0.96608,0.65133,1.11604,0.98203,0.98937,0.99077,0.75486,0.9002,0.66542,1.08179,0.002377,0.002377,0.002377
79,261.05,0.91238,0.64341,1.07528,0.98912,0.9872,0.99094,0.763,0.87388,0.62962,1.06817,0.002278,0.002278,0.002278
80,264.275,0.92081,0.66352,1.095,0.98586,0.98999,0.99104,0.75365,0.89675,0.64603,1.08418,0.002179,0.002179,0.002179
81,267.496,0.91187,0.61132,1.06985,0.98448,0.99243,0.99117,0.76627,0.86005,0.62435,1.06141,0.00208,0.00208,0.00208
82,270.728,0.96645,0.6469,1.1047,0.98544,0.99699,0.99173,0.77835,0.82981,0.62439,1.05008,0.001981,0.001981,0.001981
83,273.968,0.96804,0.62873,1.07337,0.9854,0.99206,0.9912,0.77113,0.82906,0.6135,1.05525,0.001882,0.001882,0.001882
84,277.214,0.89684,0.61087,1.07267,0.98624,0.99222,0.99109,0.78757,0.80879,0.61245,1.04004,0.001783,0.001783,0.001783
85,280.554,0.92401,0.612,1.08299,0.98429,0.99126,0.99383,0.79029,0.81346,0.60419,1.04605,0.001684,0.001684,0.001684
86,283.957,0.90942,0.60438,1.07335,0.97194,0.99372,0.99342,0.77652,0.83882,0.6056,1.06118,0.001585,0.001585,0.001585
87,287.353,0.89987,0.62729,1.07192,0.97262,0.99603,0.99411,0.77818,0.82262,0.60118,1.05366,0.001486,0.001486,0.001486
88,290.734,0.90458,0.60546,1.06771,0.98427,1,0.99459,0.78002,0.82604,0.59917,1.05536,0.001387,0.001387,0.001387
89,294.002,0.92428,0.64261,1.07505,0.98458,0.99758,0.99211,0.78895,0.80795,0.60072,1.04645,0.001288,0.001288,0.001288
90,297.214,0.88599,0.61235,1.07299,0.9929,0.99993,0.99486,0.79103,0.79797,0.59771,1.03968,0.001189,0.001189,0.001189
91,308.465,0.91435,0.60797,1.08735,0.99261,0.99857,0.99493,0.79212,0.7985,0.6217,1.03767,0.00109,0.00109,0.00109
92,311.766,0.84103,0.58181,1.06949,0.98987,1,0.99493,0.79497,0.79306,0.64092,1.03393,0.000991,0.000991,0.000991
93,314.999,0.84768,0.58562,1.05891,0.98883,1,0.99497,0.79348,0.79422,0.63247,1.03355,0.000892,0.000892,0.000892
94,318.24,0.84148,0.57719,1.03612,0.99232,0.99787,0.99486,0.80042,0.77809,0.59505,1.02222,0.000793,0.000793,0.000793
95,321.528,0.84029,0.60288,1.0825,0.99329,0.99591,0.99441,0.80008,0.77877,0.58231,1.02216,0.000694,0.000694,0.000694
96,324.799,0.82498,0.56901,1.0715,0.99444,0.9909,0.99415,0.80136,0.76917,0.5689,1.0175,0.000595,0.000595,0.000595
97,328.092,0.8414,0.6002,1.05931,0.98511,1,0.99398,0.79767,0.76162,0.56424,1.01495,0.000496,0.000496,0.000496
98,331.367,0.83845,0.56717,1.05369,0.98809,1,0.99374,0.80356,0.75093,0.56574,1.00824,0.000397,0.000397,0.000397
99,334.587,0.78423,0.55763,1.03004,0.9888,1,0.99367,0.80401,0.74626,0.56426,1.00579,0.000298,0.000298,0.000298
100,337.809,0.84358,0.57943,1.0603,0.98946,1,0.99373,0.80509,0.7452,0.56243,1.00579,0.000199,0.000199,0.000199
