epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1985.94,1.59941,0.88455,0.00389,0.8127,0.70543,0.76905,0.43591,1.67532,1.00151,0.00548,0.0011882,0.0011882,0.0011882
43,2024.6,1.64776,0.93739,0.00405,0.84592,0.70543,0.7659,0.44334,1.68375,1.0051,0.00581,0.0011684,0.0011684,0.0011684
44,2057.74,1.59712,0.87547,0.00391,0.77724,0.70326,0.72967,0.41084,1.72248,1.03906,0.00549,0.0011486,0.0011486,0.0011486
45,2090.39,1.61357,0.86105,0.00388,0.85006,0.70319,0.76361,0.46727,1.54438,0.97902,0.00479,0.0011288,0.0011288,0.0011288
46,2124.01,1.61946,0.90377,0.00394,0.84556,0.67909,0.77171,0.44116,1.63255,0.95933,0.00493,0.001109,0.001109,0.001109
47,2156.92,1.59432,0.90713,0.00386,0.79244,0.7399,0.75635,0.43939,1.59467,1.05765,0.00492,0.0010892,0.0010892,0.0010892
48,2188.1,1.59647,0.85197,0.00364,0.8487,0.72093,0.77667,0.45272,1.61878,0.94491,0.00503,0.0010694,0.0010694,0.0010694
49,2221.2,1.56655,0.86369,0.00374,0.80334,0.69668,0.76045,0.43756,1.62941,0.98218,0.00557,0.0010496,0.0010496,0.0010496
50,2255.92,1.53993,0.84111,0.00368,0.74614,0.7291,0.75536,0.44714,1.60732,0.99904,0.00508,0.0010298,0.0010298,0.0010298
51,2295.2,1.56133,0.83304,0.00381,0.74602,0.72865,0.73753,0.43395,1.63586,1.01382,0.00512,0.00101,0.00101,0.00101
52,2335.8,1.55682,0.82861,0.00375,0.84438,0.69767,0.7525,0.43319,1.62487,1.0568,0.00506,0.0009902,0.0009902,0.0009902
53,2371.85,1.51695,0.78552,0.00373,0.84583,0.6805,0.752,0.45393,1.59508,1.06589,0.00469,0.0009704,0.0009704,0.0009704
54,2408.21,1.52823,0.81696,0.00358,0.80564,0.71318,0.75105,0.43809,1.60296,0.95577,0.00498,0.0009506,0.0009506,0.0009506
55,2446.6,1.5389,0.82044,0.00371,0.85672,0.69529,0.77201,0.44251,1.63938,0.98529,0.00502,0.0009308,0.0009308,0.0009308
56,2486.43,1.54731,0.80286,0.00362,0.84206,0.72868,0.78555,0.46523,1.57841,0.94451,0.00489,0.000911,0.000911,0.000911
57,2525.26,1.53408,0.82427,0.00339,0.8865,0.71318,0.7893,0.46302,1.58895,0.92838,0.00469,0.0008912,0.0008912,0.0008912
58,2564.08,1.51504,0.79426,0.00351,0.88002,0.72868,0.80137,0.45138,1.64731,0.87929,0.00504,0.0008714,0.0008714,0.0008714
59,2603.74,1.55972,0.80059,0.00334,0.91632,0.72868,0.80888,0.47594,1.60686,0.88839,0.00472,0.0008516,0.0008516,0.0008516
60,2643.52,1.49392,0.79206,0.00349,0.82129,0.74814,0.78957,0.45211,1.6218,0.95631,0.00499,0.0008318,0.0008318,0.0008318
61,2677.89,1.48428,0.78058,0.00342,0.86013,0.7151,0.792,0.46949,1.57494,0.91791,0.00499,0.000812,0.000812,0.000812
62,2714.26,1.49424,0.77839,0.00348,0.89631,0.72093,0.78921,0.46047,1.59032,0.93565,0.00488,0.0007922,0.0007922,0.0007922
63,2746.37,1.55582,0.79663,0.00339,0.87605,0.72093,0.77664,0.45488,1.59155,0.9832,0.00486,0.0007724,0.0007724,0.0007724
64,2779.21,1.52872,0.79018,0.00348,0.83256,0.77089,0.79239,0.44143,1.68504,0.91522,0.00487,0.0007526,0.0007526,0.0007526
65,2811.87,1.49971,0.76711,0.00349,0.88742,0.73643,0.80178,0.46949,1.63718,0.92274,0.00483,0.0007328,0.0007328,0.0007328
66,2844.93,1.46916,0.74445,0.00336,0.83335,0.72868,0.78926,0.46541,1.59042,0.93283,0.00472,0.000713,0.000713,0.000713
67,2879.66,1.5006,0.75125,0.00323,0.8066,0.7436,0.78314,0.47331,1.56967,0.91215,0.00454,0.0006932,0.0006932,0.0006932
68,2910.62,1.43066,0.73855,0.00346,0.84725,0.70543,0.76908,0.46658,1.62265,0.94772,0.00475,0.0006734,0.0006734,0.0006734
69,2942.66,1.47427,0.74221,0.00342,0.85783,0.70163,0.76702,0.45379,1.64101,0.94494,0.00497,0.0006536,0.0006536,0.0006536
70,2974.49,1.45763,0.75106,0.00321,0.85554,0.69767,0.76398,0.44078,1.64191,1.01315,0.00473,0.0006338,0.0006338,0.0006338
71,3007.17,1.41865,0.73774,0.00341,0.82107,0.74705,0.76677,0.42162,1.69064,1.05069,0.00489,0.000614,0.000614,0.000614
72,3038.82,1.43202,0.73455,0.00325,0.85511,0.73199,0.76882,0.44225,1.67636,0.99945,0.00489,0.0005942,0.0005942,0.0005942
73,3069.25,1.39864,0.7218,0.00328,0.85009,0.74731,0.77884,0.46011,1.61814,0.95392,0.00496,0.0005744,0.0005744,0.0005744
74,3104.17,1.44911,0.74109,0.00314,0.86316,0.70543,0.76458,0.45299,1.5698,0.9475,0.0046,0.0005546,0.0005546,0.0005546
75,3139.95,1.46237,0.71659,0.0031,0.849,0.74098,0.76659,0.46283,1.57854,0.94798,0.00464,0.0005348,0.0005348,0.0005348
76,3175.9,1.39633,0.72123,0.00316,0.88014,0.73998,0.78404,0.48456,1.50162,0.93771,0.00439,0.000515,0.000515,0.000515
77,3210.57,1.44464,0.72422,0.00304,0.8903,0.70543,0.77627,0.47314,1.54391,0.94439,0.00443,0.0004952,0.0004952,0.0004952
78,3241.5,1.42376,0.71651,0.00305,0.87455,0.69767,0.7751,0.47014,1.56183,0.97518,0.00458,0.0004754,0.0004754,0.0004754
79,3276.13,1.42081,0.70974,0.0031,0.8758,0.70543,0.75609,0.45828,1.63671,0.98851,0.00475,0.0004556,0.0004556,0.0004556
80,3313.41,1.44681,0.72937,0.00314,0.81411,0.72868,0.7766,0.46563,1.59245,0.94399,0.00467,0.0004358,0.0004358,0.0004358
81,3352.6,1.43194,0.71346,0.00329,0.89224,0.72093,0.7848,0.4711,1.57706,0.92634,0.00471,0.000416,0.000416,0.000416
82,3391.09,1.4313,0.69918,0.00303,0.89756,0.71318,0.78705,0.46933,1.60401,0.96835,0.00472,0.0003962,0.0003962,0.0003962
83,3426.09,1.41569,0.72371,0.00302,0.8941,0.72093,0.77386,0.47287,1.52509,0.97018,0.00429,0.0003764,0.0003764,0.0003764
84,3458.12,1.35963,0.67519,0.0031,0.85938,0.73643,0.77863,0.47505,1.52832,0.97793,0.00433,0.0003566,0.0003566,0.0003566
85,3491.95,1.36468,0.6848,0.00296,0.9171,0.71318,0.78498,0.47507,1.56794,0.97764,0.00439,0.0003368,0.0003368,0.0003368
86,3525.45,1.39971,0.68941,0.00296,0.91009,0.70543,0.78708,0.47399,1.58257,0.95413,0.00446,0.000317,0.000317,0.000317
87,3559.84,1.38215,0.67331,0.00296,0.88686,0.72921,0.78646,0.47518,1.55602,0.9703,0.0045,0.0002972,0.0002972,0.0002972
