epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1235.88,1.54388,0.84877,0.00313,0.83724,0.76667,0.79205,0.4633,1.50928,0.94427,0.00438,0.0011882,0.0011882,0.0011882
43,1255.49,1.44974,0.76345,0.00289,0.88822,0.76667,0.83045,0.47568,1.52787,0.91883,0.00458,0.0011684,0.0011684,0.0011684
44,1276.09,1.4602,0.81382,0.00319,0.85855,0.71111,0.79245,0.44483,1.56655,1.00719,0.0048,0.0011486,0.0011486,0.0011486
45,1296.47,1.50993,0.78853,0.00281,0.83643,0.71111,0.79328,0.46933,1.47652,0.99212,0.00453,0.0011288,0.0011288,0.0011288
46,1319.22,1.42588,0.77621,0.00285,0.90111,0.70874,0.8365,0.48639,1.42091,1.01326,0.00428,0.001109,0.001109,0.001109
47,1341.15,1.40545,0.76559,0.00286,0.81223,0.68889,0.74971,0.45243,1.47565,1.08495,0.00406,0.0010892,0.0010892,0.0010892
48,1364.22,1.44004,0.77771,0.00298,0.82056,0.71136,0.76607,0.45851,1.39756,1.12109,0.00356,0.0010694,0.0010694,0.0010694
49,1386.03,1.43072,0.7725,0.00277,0.7779,0.70052,0.7987,0.44543,1.50507,1.05862,0.00459,0.0010496,0.0010496,0.0010496
50,1407.98,1.45124,0.7779,0.00272,0.87049,0.68889,0.83125,0.50254,1.41505,0.91795,0.0039,0.0010298,0.0010298,0.0010298
51,1430.51,1.47802,0.77581,0.00289,0.82288,0.72269,0.79509,0.50947,1.30109,0.92369,0.00347,0.00101,0.00101,0.00101
52,1490.75,1.46401,0.74418,0.00273,0.83606,0.72222,0.81103,0.48747,1.40543,0.94231,0.00432,0.0009902,0.0009902,0.0009902
53,1521.65,1.43228,0.75049,0.00316,0.77762,0.8,0.81895,0.50776,1.38961,0.93732,0.00401,0.0009704,0.0009704,0.0009704
54,1553.1,1.48,0.75294,0.00281,0.84623,0.79496,0.85032,0.50244,1.43084,0.89817,0.00413,0.0009506,0.0009506,0.0009506
55,1584.65,1.41677,0.73058,0.00274,0.85282,0.78889,0.86195,0.50371,1.38685,0.88781,0.00384,0.0009308,0.0009308,0.0009308
56,1620.11,1.38306,0.68984,0.00283,0.82077,0.75556,0.82698,0.51872,1.35323,0.85349,0.00405,0.000911,0.000911,0.000911
57,1662.58,1.38266,0.67829,0.00256,0.81285,0.77217,0.83072,0.51446,1.36504,0.92018,0.00433,0.0008912,0.0008912,0.0008912
58,1707.72,1.37581,0.68849,0.00245,0.8298,0.78889,0.84515,0.51364,1.32721,0.89815,0.0042,0.0008714,0.0008714,0.0008714
59,1733.1,1.34626,0.67123,0.00276,0.81245,0.78889,0.8472,0.51582,1.35774,0.91364,0.00412,0.0008516,0.0008516,0.0008516
60,1755.62,1.36805,0.67019,0.00248,0.89352,0.73333,0.83861,0.49624,1.39314,0.89351,0.00412,0.0008318,0.0008318,0.0008318
61,1776.75,1.35603,0.68046,0.00269,0.85221,0.73333,0.8256,0.48306,1.41215,0.95454,0.00395,0.000812,0.000812,0.000812
62,1799.26,1.41878,0.68293,0.00267,0.88296,0.75445,0.84272,0.51347,1.37448,0.937,0.00423,0.0007922,0.0007922,0.0007922
63,1821.37,1.43534,0.70075,0.00271,0.87766,0.79711,0.83468,0.49869,1.43457,0.9564,0.00407,0.0007724,0.0007724,0.0007724
64,1848.29,1.3965,0.64649,0.00259,0.90366,0.78889,0.85697,0.52215,1.37352,0.89313,0.00406,0.0007526,0.0007526,0.0007526
65,1874.39,1.35399,0.68214,0.00268,0.886,0.77723,0.84655,0.52005,1.35774,0.8962,0.00392,0.0007328,0.0007328,0.0007328
66,1896.53,1.34621,0.65815,0.00287,0.93122,0.75215,0.85297,0.51032,1.39008,0.94347,0.00387,0.000713,0.000713,0.000713
67,1918.56,1.35312,0.68877,0.00262,0.82808,0.78889,0.83453,0.49773,1.37778,0.95427,0.00391,0.0006932,0.0006932,0.0006932
68,1940.96,1.32048,0.63123,0.00243,0.81348,0.8,0.83019,0.48991,1.35944,0.95948,0.00393,0.0006734,0.0006734,0.0006734
69,1966.98,1.38769,0.6834,0.00256,0.8512,0.82628,0.83512,0.4887,1.4136,0.94292,0.00389,0.0006536,0.0006536,0.0006536
70,1993.17,1.40614,0.64823,0.00239,0.88439,0.76501,0.81638,0.47336,1.45786,0.95424,0.00423,0.0006338,0.0006338,0.0006338
71,2020.3,1.31886,0.6521,0.00261,0.83637,0.79516,0.79983,0.47769,1.43269,0.97633,0.00435,0.000614,0.000614,0.000614
72,2042.22,1.36919,0.67037,0.00272,0.92913,0.72835,0.81612,0.48787,1.38049,0.94595,0.00419,0.0005942,0.0005942,0.0005942
73,2065.75,1.36925,0.61026,0.00263,0.87785,0.71868,0.81281,0.48475,1.34372,0.95546,0.00415,0.0005744,0.0005744,0.0005744
74,2087.89,1.36146,0.63817,0.00251,0.88996,0.75556,0.84262,0.49482,1.35828,0.94541,0.00394,0.0005546,0.0005546,0.0005546
75,2112.63,1.34034,0.6574,0.00235,0.79432,0.77778,0.79623,0.4989,1.32374,0.92746,0.00374,0.0005348,0.0005348,0.0005348
76,2136.95,1.35411,0.65599,0.0025,0.84308,0.77778,0.84629,0.48294,1.43531,0.94053,0.00385,0.000515,0.000515,0.000515
77,2163.52,1.40086,0.65002,0.0027,0.78817,0.83333,0.83317,0.50183,1.40815,0.938,0.00381,0.0004952,0.0004952,0.0004952
78,2190.23,1.31277,0.63361,0.00245,0.83212,0.76667,0.82444,0.52029,1.31612,0.91426,0.00369,0.0004754,0.0004754,0.0004754
79,2211.92,1.28787,0.61746,0.00233,0.77767,0.81618,0.8301,0.51103,1.3653,0.89027,0.00377,0.0004556,0.0004556,0.0004556
80,2234.31,1.33031,0.65776,0.00238,0.78451,0.81111,0.81236,0.50351,1.34336,0.92406,0.00381,0.0004358,0.0004358,0.0004358
81,2258.83,1.33143,0.64802,0.00231,0.80985,0.82222,0.82981,0.50748,1.33926,0.90123,0.00385,0.000416,0.000416,0.000416
82,2284.54,1.33691,0.64381,0.00246,0.81596,0.83751,0.8492,0.51102,1.37641,0.89583,0.00392,0.0003962,0.0003962,0.0003962
83,2311.1,1.32421,0.67693,0.00235,0.82268,0.81111,0.86033,0.51078,1.34497,0.89898,0.00378,0.0003764,0.0003764,0.0003764
84,2334.88,1.3139,0.63228,0.00234,0.82533,0.84005,0.85524,0.52103,1.34706,0.85276,0.0038,0.0003566,0.0003566,0.0003566
85,2356.61,1.31367,0.63774,0.00236,0.85827,0.80748,0.84493,0.51783,1.32734,0.85973,0.00369,0.0003368,0.0003368,0.0003368
86,2378.71,1.35494,0.66053,0.00235,0.84065,0.82066,0.84822,0.51726,1.33068,0.85809,0.00381,0.000317,0.000317,0.000317
87,2400.61,1.30014,0.63483,0.0024,0.87416,0.8,0.8551,0.5269,1.3266,0.85002,0.00375,0.0002972,0.0002972,0.0002972
88,2422.5,1.28246,0.60904,0.00215,0.85074,0.81111,0.86392,0.5212,1.36982,0.86724,0.00387,0.0002774,0.0002774,0.0002774
89,2444.29,1.34516,0.64006,0.0022,0.84019,0.82222,0.8624,0.51794,1.3689,0.84742,0.00388,0.0002576,0.0002576,0.0002576
90,2466.29,1.24325,0.60421,0.00221,0.82132,0.82222,0.8483,0.51762,1.36072,0.84742,0.00387,0.0002378,0.0002378,0.0002378
91,2494.98,1.21676,0.54875,0.00267,0.83008,0.81422,0.8463,0.50901,1.36679,0.87476,0.00396,0.000218,0.000218,0.000218
92,2516.26,1.22349,0.58055,0.00242,0.82452,0.78313,0.82881,0.49967,1.37826,0.91875,0.00404,0.0001982,0.0001982,0.0001982
93,2537.47,1.18914,0.57613,0.00232,0.83293,0.77553,0.82403,0.49882,1.38984,0.90699,0.00411,0.0001784,0.0001784,0.0001784
94,2562.59,1.18687,0.55868,0.00229,0.81822,0.75021,0.83113,0.50057,1.35308,0.9226,0.00401,0.0001586,0.0001586,0.0001586
95,2584.16,1.19964,0.55884,0.00229,0.80957,0.74444,0.82569,0.50762,1.33915,0.91202,0.00395,0.0001388,0.0001388,0.0001388
96,2606.04,1.21235,0.57601,0.00232,0.8136,0.75556,0.82653,0.50708,1.33656,0.92279,0.00392,0.000119,0.000119,0.000119
97,2627.81,1.22356,0.56496,0.00239,0.83218,0.77778,0.84166,0.50874,1.3466,0.9183,0.00394,9.92e-05,9.92e-05,9.92e-05
98,2649.63,1.18963,0.57231,0.00229,0.80583,0.78395,0.84365,0.50797,1.35594,0.90921,0.00395,7.94e-05,7.94e-05,7.94e-05
99,2670.98,1.21588,0.55594,0.00239,0.79859,0.77778,0.84423,0.50847,1.34862,0.91414,0.00394,5.96e-05,5.96e-05,5.96e-05
100,2693.12,1.21263,0.56901,0.00223,0.78732,0.78152,0.83996,0.51032,1.34659,0.91559,0.00393,3.98e-05,3.98e-05,3.98e-05
